Lupinus albifrons var. albifrons	silver bush lupine				
Lupinus bicolor	miniature lupine				
Lupinus formosus var. formosus	summer lupine				
Lupinus microcarpus var. densiflorus	chick lupine				
Lupinus nanus	sky lupine				
Lupinus succulentus	arroyo lupine				
Medicago arabica	spotted burclover	*			
Medicago lupulina	black medick	*			
Medicago polymorpha	burclover	*			
Medicago sativa	alfalfa	*			
Melilotus indicus	small melilot	*			
Pickeringia montana var. montana	chaparral pea				
Rupertia physodes	California tea				
Spartium junceum	Spanish broom	*			
Trifolium albopurpureum	rancheria clover				
Trifolium angustifolium	narrow-leaved clover	*			
Trifolium barbigerum	bearded clover				
Trifolium bifidum	notch-leaved clover				
Trifolium campestre	hop clover	*			
Trifolium ciliolatum	tree clover				
Trifolium depauperatum var. truncatum	purple sack clover				
Trifolium dubium	little hop clover	*			
Trifolium fucatum	bull clover				
Trifolium glomeratum	clustered clover	*			
Trifolium gracilentum	pinpoint clover				
Trifolium hirtum	rose clover	*			
Trifolium macraei	double-headed clover				
Trifolium microcephalum	small-headed clover				
Trifolium microdon	thimble clover				
Trifolium oliganthum	few-flowered clover				
Trifolium repens	white clover	*			
Trifolium subterraneum	subterranean clover	*			
Trifolium variegatum	white-tipped clover				
Trifolium willdenovii	tomcat clover				
Vicia americana ssp. americana	American vetch				
Vicia hirsuta	tiny vetch	*			
Vicia lutea	yellow vetch	*			
Vicia sativa ssp. nigra	narrow-leaved vetch	*			
Vicia sativa ssp. sativa	spring vetch	*			
Vicia villosa	hairy vetch	*			
Quercus agrifolia var. agrifolia	coast live oak				
Quercus berberidifolia	scrub oak				
Quercus douglasii	blue oak				
Quercus douglasii x durata	blue/leather oak hybrid				
Quercus durata var. durata	leather oak				
Quercus durata x lobata	leather/valley oak hybrid				
Quercus lobata	valley oak				
Quercus suber	cork oak	*			
Garrya elliptica	coast silk tassel				
Centaurium tenuiflorum	slender centaury	*			
Cicendia quadrangularis	timwort				
Zeltnera davyi	Davy's centuary				
Zeltnera muehlenbergii	June centaury				
Erodium botrys	long-beaked storksbill	*			
Erodium brachycarpum	short-fruited storksbill	*			
Erodium cicutarium	red-stemmed storksbill	*			
Erodium moschatum	musk storksbill	*			
Geranium dissectum	cut-leaved geranium	*			
Geranium molle	cranesbill	*			
Geranium purpureum	little-robin	*			
Geranium rotundifolium	round-leaved geranium	*			
Ribes californicum var. californicum	hillside gooseberry				
Ribes malvaceum var. malvaceum	chaparral currant				
Ribes menziesii var. menziesii	canyon gooseberrry				
Ribes sanguineum var. glutinosum	pink-flowering currant				
Philadelphus sp.	mock orange	*			
Nemophila heterophylla	variable-leaved nemophila				
Nemophila parviflora var. parviflora	small-flowered nemophila				
Phacelia californica	California phacelia				
Phacelia distans	common phacelia				
Phacelia divaricata	divaricate phacelia				
Phacelia imbricata var. imbricata	imbricate phacelia				
Phacelia nemoralis var. nemoralis	shade phacelia				
Phacelia rattanii	Rattan's phacelia				
Hypericum calycinum	Aaron's beard	*			
Chasmanthe floribunda	South African cornflag	*			
Iris douglasiana	Douglas' iris				
Iris foetidissima	coral iris	*			
Iris germanica	bearded iris	*			
Iris sp.	garden iris	*			
Romulea rosea var. australis	rosy sand crocus	*			
Sisyrinchium bellum	blue-eyed grass				
Juglans hindsii	Northern California black walnut	[#]			
Juglans regia	English walnut	*			
Juncus bufonius var. bufonius	toad rush				
Juncus effusus ssp. pacificus	Pacific rush				
Juncus occidentalis	Western rush				
Juncus patens	spreading rush				
Juncus phaeocephalus var. phaeocephalus	brown-headed rush				
Juncus xiphioides	iris-leaved rush				
Luzula comosa var. comosa	common wood rush				
Luzula macrantha	prairie woodrush				
Acanthomintha duttonii	San Mateo thornmint	#			
Clinopodium douglasii	yerba buena				
Lamium amplexicaule	henbit	*			
Lepechinia calycina	pitcher sage				
Mentha pulegium	pennyroyal	*			
Monardella villosa ssp. villosa	coyote mint				
Pogogyne serpylloides	thyme-leaved pogogyne				
Salvia columbariae	chia				
Scutellaria tuberosa	Dannie's skullcap				
Stachys ajugoides	bugle hedge nettle				
Stachys pycnantha	short-spiked hedge nettle				
Stachys rigida var. rigida	rigid hedge nettle				
Umbellularia californica	California bay				
Calochortus albus	white globe lily				
Calochortus argillosus	clay mariposa lily				
Calochortus luteus	yellow mariposa lily				
Fritillaria affinis	checker lily				
Fritillaria liliacea	fragrant fritillary	#			
Hyacinthoides x massartiana	hybrid bluebell	*			
Lilium pardalinum ssp. pardalinum	leopard lily				
Prosartes hookeri	Hooker's fairy bells				
Hesperolinon congestum	Marin dwarf flax	#			
Hesperolinon micranthum	small-flowered dwarf flax				
Linum bienne	narrow-leaved flax	*			
Lythrum hyssopifolia	hyssop loosestrife	*			
Malacothamnus arcuatus var. arcuatus	Western bewildering bushmallow				
Sidalcea diploscypha	fringed checker bloom				
Sidalcea malviflora ssp. malviflora	checker mallow				
Toxicoscordion fremontii	common star lily				
Toxicoscordion fontanum	small-flowered death camas				
Trillium chloropetalum	giant trillium				
Calandrinia menziesii	red maids				
Claytonia exigua ssp. exigua	little spring beauty				
Claytonia parviflora ssp. parviflora	narrow-leaved miner's lettuce				
Claytonia perfoliata ssp. perfoliata	miner's lettuce				
Lewisia rediviva var. rediviva	bitterroot				
Ficus carica	common fig	*			
Morella californica	California wax myrtle				
Lysimachia arvensis	scarlet pimpernel	*			
Lysimachia latifolia	Pacific starflower				
Eucalyptus globulus	blue gum	*			
Eucalyptus pulverulenta	silver-leaved mountain gum	*			
Eriodictyon californicum	yerba santa				
Ligustrum species	privet	*			
Olea europaea	olive	*			
Camissoniopsis micrantha	miniature suncup				
Clarkia purpurea ssp. quadrivulnera	four-spot clarkia				
Clarkia rubicunda	ruby chalice clarkia				
Clarkia unguiculata	elegant clarkia				
Epilobium brachycarpum	panicled willow herb				
Epilobium ciliatum ssp. ciliatum	common willow herb				
Epilobium densiflorum	dense-flowered boisduvalia				
Epilobium minutum	minute willow herb				
Epilobium torreyi	Torrey's willow herb				
Taraxia ovata	sun cup				
Tetrapteron graciliflorum	hill sun cup				
Corallorhiza maculata var. maculata	spotted coralroot				
Corallorhiza striata	striped coralroot				
Epipactis helleborine	broad-leaved helleborine	*			
Platanthera elegans ssp. elegans	elegant rein orchid				
Platanthera elongata	chaparral rein orchid				
Platanthera transversa	mountain rein orchid				
Aphyllon californicum ssp. jepsonii	Jepson's California broomrape				
Aphyllon franciscanum	yellow clustered broomrape				
Bellardia trixago	bellardia	*			
Castilleja affinis ssp. affinis	coast paintbrush				
Castilleja attenuata	valley tassels				
Castilleja densiflora ssp. densiflora	dense-flowered owl's-clover				
Castilleja exserta ssp. exserta	purple owl's-clover				
Castilleja foliolosa	woolly paintbrush				
Castilleja rubicundula ssp. lithospermoides	yellow cream sacs				
Cordylanthus pilosus ssp. pilosus	hairy bird's beak				
Cordylanthus rigidus ssp. rigidus	rigid bird's beak				
Pedicularis densiflora	warrior's plume				
Triphysaria pusilla	dwarf owl's-clover				
Oxalis incarnata	crimson wood-sorrel	*			
Oxalis pes-caprae	bermuda buttercup	*			
Eschscholzia californica	California poppy				
Fumaria capreolata	white ramping fumitory	*			
Papaver heterophyllum	wind poppy				
Platystemon californicus	cream cups				
Diplacus aurantiacus	sticky monkeyflower				
Diplacus douglasii	purple mouse-ears				
Erythranthe guttata	seep monkeyflower				
Erythranthe microphylla	small-leaved monkeyflower				
Pinus pinea	Italian stone pine	*			
Pinus radiata	Monterey pine				
Pseudotsuga menziesii var. menziesii	Douglas-fir				
Antirrhinum vexillocalyculatum ssp. vexillocalyculatum	wiry snapdragon				
Collinsia multicolor	San Francisco collinsia	#			
Collinsia sparsiflora var. collina	few-flowered collinsia				
Kickxia elatine	sharp-leaved fluellin	*			
Kickxia spuria	round-leaved fluellin	*			
Plantago coronopus	cut-leaved plantain	*			
Plantago erecta	California plantain				
Plantago lanceolata	English plantain	*			
Veronica americana	American brooklime				
Veronica persica	Persian speedwell	*			
Platanus sp.	sycamore				
Agrostis exarata	spike bent grass				
Agrostis hallii	Hall's bent grass				
Aira caryophyllea	silver hair grass	*			
Avena barbata	slender wild oat	*			
Avena fatua	wild oat	*			
Brachypodium distachyon	purple false brome	*			
Briza maxima	big quaking grass	*			
Briza minor	little quaking grass	*			
Bromus commutatus	meadow brome	*			
Bromus diandrus	ripgut brome	*			
Bromus hordeaceus	soft chess	*			
Bromus laevipes	Chinook brome				
Bromus madritensis	foxtail chess	*			
Bromus rubens	red brome	*			
Bromus sitchensis var. carinatus	California brome				
Bromus sterilis	poverty brome	*			
Cortaderia jubata	purple pampas grass	*			
Cynosurus echinatus	hedgehog dogtail grass	*			
Dactylis glomerata	orchard grass	*			
Danthonia californica	California oat grass				
Deschampsia bolanderi	Scribner's grass				
Deschampsia danthonioides	annual hairgrass				
Deschampsia elongata	slender hairgrass				
Ehrharta erecta	panic veldtgrass	*			
Elymus caput-medusae	Medusa head	*			
Elymus glaucus ssp. glaucus	blue wild rye				
Elymus glaucus x Elymus multisetus	hybrid squirreltail grass				
Elymus multisetus	big squirreltail grass				
Elymus trachycaulus ssp. trachycaulus	slender wheatgrass				
Elymus triticoides	beardless wild rye				
Festuca arundinacea	tall fescue	*			
Festuca bromoides	brome fescue	*			
Festuca californica	California fescue				
Festuca microstachys	small fescue				
Festuca myuros	rattail fescue	*			
Festuca perennis	Italian ryegrass	*			
Gastridium phleoides	nit grass	*			
Holcus lanatus	common velvet grass	*			
Hordeum brachyantherum ssp. brachyantherum	Northern barley				
Hordeum brachyantherum ssp. californicum	California meadow barley				
Hordeum marinum ssp. gussoneanum	Mediterranean barley	*			
Hordeum murinum ssp. leporinum	hare barley	*			
Koeleria macrantha	June grass				
Lamarckia aurea	goldentop grass	*			
Melica californica	California melic				
Melica imperfecta	little California melic				
Melica torreyana	Torrey's melic				
Paspalum dilatatum	Dallis grass	*			
Phalaris aquatica	Harding grass	*			
Phalaris californica	California canary grass				
Phalaris paradoxa	hooded canary grass	*			
Poa annua	annual bluegrass	*			
Poa pratensis ssp. pratensis	Kentucky bluegrass	*			
Poa secunda ssp. secunda	one-sided bluegrass				
Polypogon monspeliensis	rabbitfoot grass	*			
Stipa lepida	foothill needle grass				
Stipa pulchra	purple needle grass				
Trisetum canescens	tall false oat				
Eriastrum abramsii	Abrams' eriastrum				
Gilia achilleifolia ssp. achilleifolia	California gilia				
Gilia clivorum	grassland gilia				
Leptosiphon ambiguus	serpentine leptosiphon	#			
Leptosiphon androsaceus	common leptosiphon				
Leptosiphon liniflorus	flax-flowered leptosiphon				
Leptosiphon parviflorus	small-flowered leptosiphon				
Microsteris gracilis	slender phlox				
Navarretia heterodoxa	Calistoga navarretia				
Navarretia mellita	honey-scented navarretia				
Navarretia squarrosa	skunkweed				
Eriogonum fasciculatum var. foliolosum	California buckwheat				
Eriogonum luteolum var. luteolum	wicker buckwheat				
Eriogonum nudum var. auriculatum	naked-stemmed buckwheat				
Polygonum aviculare ssp. depressum	common knotweed	*			
Pterostegia drymarioides	pterostegia				
Rumex acetosella	sheep sorrel	*			
Rumex conglomeratus	green dock	*			
Rumex crispus	curly dock	*			
Rumex obtusifolius	bitter dock	*			
Rumex pulcher	fiddle dock	*			
Rumex salicifolius	willow dock				
Polypodium californicum	California polypody				
Primula clevelandii var. patula	Padre's shooting star				
Primula hendersonii	Henderson's shooting star				
Adiantum jordanii	California maidenhair fern				
Pellaea andromedifolia	coffee fern				
Pentagramma triangularis	goldback fern				
Aquilegia eximia	Van Houtte's columbine				
Aquilegia formosa	crimson columbine				
Clematis lasiantha	chaparral clematis				
Delphinium californicum ssp. californicum	California larkspur				
Delphinium hesperium ssp. hesperium	Western larkspur				
Delphinium patens ssp. patens	spreading larkspur				
Delphinium variegatum ssp. variegatum	royal larkspur				
Ranunculus californicus	California buttercup				
Ranunculus hebecarpus	pubescent-fruited buttercup				
Ranunculus muricatus	prickle-fruited buttercup	*			
Thalictrum fendleri var. polycarpum	meadow-rue				
Ceanothus cuneatus var. cuneatus	buckbrush				
Ceanothus oliganthus var. sorediatus	jim brush				
Frangula californica ssp. californica	California coffeeberry				
Rhamnus crocea	spiny redberry				
Adenostoma fasciculatum var. fasciculatum	chamise				
Aphanes occidentalis	Western lady's mantle				
Chaenomeles japonica	flowering quince	*			
Cotoneaster pannosus	silverleaf cotoneaster	*			
Crataegus monogyna	English hawthorn	*			
Drymocallis glandulosa var. wrangelliana	sticky cinquefoil				
Heteromeles arbutifolia	toyon				
Holodiscus discolor var. discolor	ocean spray				
Oemleria cerasiformis	oso berry				
Physocarpus capitatus	Pacific ninebark				
Poterium sanguisorba	garden burnet	*			
Prunus ilicifolia ssp. ilicifolia	holly-leaved cherry				
Prunus sp.	ornamental plum	*			
Prunus subcordata	Sierra plum				
Pyracantha angustifolia	narrowleaf firethorn	*			
Pyrus communis	common pear	*			
Rosa californica	California rose				
Rosa gymnocarpa ssp. gymnocarpa	wood rose				
Rosa sp.	ornamental rose	*			
Rosa spithamea	ground rose				
Rubus armeniacus	Himalayan blackberry	*			
Rubus ursinus	California blackberry				
Galium aparine	goose grass				
Galium californicum ssp. californicum	California bedstraw				
Galium murale	tiny bedstraw	*			
Galium parisiense	wall bedstraw	*			
Galium porrigens var. porrigens	climbing bedstraw				
Sherardia arvensis	field madder	*			
Maianthemum racemosum ssp. amplexicaule	fat false Solomon's seal				
Maianthemum stellatum	slim false Solomon's seal				
Choisya ternata	Mexican orange	*			
Salix lasiolepis	arroyo willow				
Aesculus californica	California buckeye				
Lithophragma affine	woodland star				
Lithophragma heterophyllum	hill star				
Micranthes californica	California saxifrage				
Scrophularia californica	bee plant				
Verbascum blattaria	moth mullein	*			
Datura stramonium	jimsonweed	*			
Solanum douglasii	Douglas' nightshade				
Solanum furcatum	forked nightshade	*			
Solanum umbelliferum var. umbelliferum	blue witch				
Camellia species	camellia	*			
Brodiaea elegans ssp. elegans	harvest brodiaea				
Brodiaea terrestris ssp. terrestris	dwarf brodiaea				
Dipterostemon capitatus ssp. capitatus	blue dicks				
Dichelostemma congestum	ookow				
Muilla maritima	common muilla				
Triteleia hyacinthina	white brodiaea				
Triteleia ixioides ssp. ixioides	golden brodiaea				
Triteleia laxa	Ithuriel's spear				
Triteleia peduncularis	long-rayed brodiaea				
Dirca occidentalis	Western leatherwood	#			
Typha angustifolia	narrow-leaved cattail				
Ulmus species	elm				
Hesperocnide tenella	Western nettle				
Parietaria judaica	spreading pellitory	*			
Urtica gracilis ssp. gracilis	American stinging nettle				
Plectritis ciliosa	long-spurred plectritis				
Plectritis macrocera	white plectritis				
Verbena lasiostachys var. scabrida	robust vervain				
Sambucus mexicana	blue elderberry				
Viburnum tinus	laurustinus viburnum	*			
Phoradendron leucarpum ssp. tomentosum	hairy mistletoe				
Parthenocissus inserta	woodbine	*			
Lomatium species	lomatium species			
Pseudognaphalium species	cudweed species			
Navarretia species	navarretia species			
Stachys species	hedge nettle species			
Erigeron species	horseweed species			
Luzula species	woodrush species			
Vicia species	vetch species			
Brassicaceae species	mustard species			
Verbena species	verbena species			
Trifolium species	clover species			
Lasthenia species	goldfields species			
Microseris douglasii subspecies	Douglas' silverpuffs			
Gilia species	gilia species			
Rumex species	dock species			
Epilobium species	willow herb species			
Rubus ursinus	California blackberry (m)				
Rubus ursinus	California blackberry (f)				
Galium porrigens var. porrigens	climbing bedstraw (m)				
Galium porrigens var. porrigens	climbing bedstraw (f)				
Garrya elliptica	coast silk tassel (m)				
Garrya elliptica	coast silk tassel (f)				
Salix lasiolepis	arroyo willow (m)				
Salix lasiolepis	arroyo willow (f)				
Toxicodendron diversilobum	poison oak (m)				
Toxicodendron diversilobum	poison oak (f)				
Thalictrum fendleri var. polycarpum	meadow-rue (m)				
Thalictrum fendleri var. polycarpum	meadow-rue (f)				
